"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"1","Digital Simplex","441.000 Simplex|446.500 Simplex|446.075 Simplex","441.00000|446.50000|446.07500","441.00000|446.50000|446.07500","446.500 Simplex","446.50000","446.50000","441.000 Simplex","441.00000","441.00000"
"2","Hotspot 434.000","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000","434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000|434.00000","Utah","434.00000","434.00000","Local","434.00000","434.00000"
"3","Hotspot 438.500","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000","438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000|438.50000","Utah","438.50000","438.50000","Local","438.50000","438.50000"
"4","Hotspot 438.5125","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250","438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250|438.51250","Utah","438.51250","438.51250","Local","438.51250","438.51250"
"5","Hotspot 438.525","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500","438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500|438.52500","Utah","438.52500","438.52500","Local","438.52500","438.52500"
"6","Hotspot 445.000","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000","445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000|445.00000","Utah","445.00000","445.00000","Local","445.00000","445.00000"
"7","Duplex 1","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000","442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000","Utah","447.35000","442.35000","Local","447.35000","442.35000"
"8","Duplex 2","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|HELP W CODE PLUG|Radio Test|Parrot|Disconnect","447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750","442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750","Utah","447.93750","442.93750","Local","447.93750","442.93750"
"9","Lehi_off_4_now","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000|447.05000","442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000|442.05000","Utah","447.05000","442.05000","Local","447.05000","442.05000"
"10","Boise","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500|444.07500","449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500|449.07500","Utah","444.07500","449.07500","Local","444.07500","449.07500"
